Product Link,Product Name,Current Price,Actual Price,Discount,Model Number,Model Name,SIM Type,Touchscreen,OTG,Quick Charge,Display Size,Resolution,Resolution Type,GPU,Display Type,Display Colors,Operating System,Processor Brand,Processor Type,Processor Core,Primary Clock Speed,Secondary Clock Speed,Internal Storage,RAM,Total Memory,Expandable Storage,Supported Memory Card,Primary Camera A,Primary Camera,Secondary Camera A,Secondary Camera,Full HD Recording,Video Recording Resolution,Frame Rate,Network Type,Supported Networks,Internet Connectivity,GPRS,Micro USB Port,Micro USB Version,Bluetooth Version,Wi-Fi Version,NFC,Infrared,USB Connectivity,Audio Jack,GPS,Graphic PPI,Sensors,Software Upgrade,FM Radio,Battery Capacity,Battery Type,Dual Battery,Width,Height,Depth,Weight,Domestic Warranty,Ratings,Number of Ratings,Number of Reviews,Number of 5-Star Ratings,Number of 4-Star Ratings,Number of 3-Star Ratings,Number of 2-Star Ratings,Number of 1-Star Ratings,Camera Rating,Battery Rating,Display Rating,Design Rating
https://www.flipkart.com/realme-p2-pro-5g-eagle-grey-512-gb/p/itm53d39fff9f20c?pid=MOBH45GSHAE5Z9HB&lid=LSTMOBH45GSHAE5Z9HBHDNN0E&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBH45GSHAE5Z9HB.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"realme P2 Pro 5G (Eagle Grey, 512 GB)  (12 GB RAM)","₹22,999","₹30,999",25% off,RMX3987,P2 Pro 5G,Dual Sim,Yes,Yes,Yes,17.02 cm (6.7 inch),2412 x 1080 Pixels,Full HD+,Adreno GPU 7 series,Full HD+ OLED,10 Bit,Android 14,Snapdragon,7s Gen2,Octa Core,2.4 GHz,1.95 GHz,512 GB,12 GB,,,,Yes,50MP + 8MP,Yes,32MP Front Camera,Yes,"Rear Camera: 4K (at 30 fps), 1080P (at 120 fps/at 60 fps/at 30 fps), 720P (at 240 fps/at 120 fps/at 60 fps/at 30 fps)|Front Camera: 4K (at 30 fps), 1080P (at 30 fps), 720P (at 30 fps), Video Zoom, Dual View Video","30 fps, 60 fps, 120 fps, 240 fps","5G, 4G VOLTE, 4G, 3G, 2G","5G, 4G VoLTE, 4G LTE, WCDMA, GSM","5G, 4G, 3G, EDGE, GPRS, Wi-Fi",Yes,Yes,USB 2.0 (Type C),v5.2,"WiFi 2.4 GHz, WiFi 5 GHz, WiFi 6 (802.11ax), WiFi 5 (802.11ac), 802.11 b/g/a/n, WLAN 2.4 GHz, WLAN 5.1 GHz, WLAN 5.4 GHz, WLAN 5.8 GHz, WLAN Display, WLAN Tethering, Wi-Fi 2.4 GHz 20M, Wi-Fi 2.4 GHz 40M, Wi-Fi 5 GHz 20M, Wi-Fi 5 GHz 40M, Wi-Fi 5 GHz 80M, Wi-Fi 5 GHz 160M, 2x2 MIMO",No,No,Yes,Type C,Yes,394 PPI,"Proximity Sensor, Ambient Light Sensor, Accelerometer, Gyroscope, In Display Optical Fingerprint Sensor, E-Compass",,No,5200 mAh,BLPA91 Polymer Lithium-ion,,73.91 mm,161.34 mm,8.21 mm,180 g,1 Year,4.4,"5,672 Ratings &",429 Reviews,"3,729","1,220",309,133,281,4.1,4.2,4.5,4.3
https://www.flipkart.com/motorola-g05-plum-red-64-gb/p/itm87af8109384d4?pid=MOBH5F3QKFHEGBFS&lid=LSTMOBH5F3QKFHEGBFSYF5LHW&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBH5F3QKFHEGBFS.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"MOTOROLA g05 (Plum Red, 64 GB)  (4 GB RAM)","₹6,999","₹9,999",30% off,PB790001IN,g05,Dual Sim,Yes,Yes,Yes,16.94 cm (6.67 inch),1612 x 720 Pixels,HD+,Arm Mali G52 MC2,HD+ LCD,8 Bit,Android 15,Mediatek,Helio G81,Octa Core,2 GHz,1.7 GHz,64 GB,4 GB,,1 TB,MicroSD,Yes,50MP Rear Camera,Yes,8MP Front Camera,Yes,"Rear Camera: FHD (at 30 fps), HD (at 30 fps) | Front Camera: FHD (at 30 fps), HD (at 30 fps)",30 fps,"2G, 3G, 4G","4G LTE, GSM, WCDMA","4G, 3G, Wi-Fi",Yes,Yes,USB 2.0 (Type C),v5.4,Wi-Fi 802.11 a/b/g/n/ac (2.4 GHz | 5 GHz),No,No,Yes,3.5mm,Yes,263 PPI,"Proximity Sensor, Ambient Light Sensor, Accelerometer, Side Fingerprint Reader, Face Unlock",,Yes,5200 mAh,BLPA91 Polymer Lithium-ion,,75.98 mm,165.67 mm,8.17 mm,188.8 g,1 Year,4.3,"5,869 Ratings &",464 Reviews,"3,664","1,285",401,162,357,3.9,4.3,4.3,4.4
https://www.flipkart.com/realme-p1-5g-phoenix-red-128-gb/p/itmae4447062b5b5?pid=MOBGYQ6BXSENZRV3&lid=LSTMOBGYQ6BXSENZRV35OQT6P&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBGYQ6BXSENZRV3.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"realme P1 5G (Phoenix Red, 128 GB)  (6 GB RAM)","₹13,999","₹20,999",33% off,RMX3870,P1 5G,Dual Sim,Yes,Yes,Yes,16.94 cm (6.67 inch),2400 x 1080 Pixels,Full HD+,ARM Mali-G68 MC4,Full HD+ AMOLED,16.7 Million,Android 14,Mediatek,Dimensity 7050,Octa Core,2.6 GHz,2 GHz,128 GB,6 GB,,2 TB,MicroSD,Yes,50MP + 2MP,Yes,16MP Front Camera,Yes,"Rear Camera: 720p (at 30 fps/at 60 fps/at 240 fps/at 960 fps), 1080p (at 30 fps/at 60 fps/at 120 fps/at 480 fps), 4k (at 30 fps)| Front Camera: 720p (at 30 fps), 1080p (at 30 fps)","960 fps, 480 fps, 240 fps, 120 fps, 60 fps, 30 fps","5G, 4G VOLTE, 4G, 3G, 2G","5G, 4G VoLTE, 4G LTE, WCDMA, GSM","5G, 4G, 3G, EDGE, GPRS, Wi-Fi",Yes,Yes,USB 2.0 (Type C),v5.2,"IEEE 802.11 a/b/g/n/ac/ax (WiFi 4| WiFi 5| WiFi 6), Supports 2.4 GHz, 5 GHz",No,No,Yes,3.5mm,Yes,394 PPI,"Magnetic Induction Sensor, Light Sensor, Proximity Sensor, Gyro-meter, Acceleration Sensor",,Yes,5000 mAh,BLPA91 Polymer Lithium-ion,,75.45 mm,162.95 mm,7.97 mm,188 g,1 Year,4.4,"83,537 Ratings &","4,862 Reviews","52,706","19,268","5,418","2,011","4,134",3.8,4.1,4.3,4.2
https://www.flipkart.com/motorola-g45-5g-pink-lavender-128-gb/p/itm3aa166a12a3dd?pid=MOBH7YRVGHWQTSFK&lid=LSTMOBH7YRVGHWQTSFKJAMMRG&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBH7YRVGHWQTSFK.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"Motorola g45 5G (Pink Lavender, 128 GB)  (8 GB RAM)","₹11,999","₹14,999",20% off,PB3W0001IN,g45 5G,Dual Sim,Yes,Yes,Yes,16.51 cm (6.5 inch),1600 x 720 Pixels,HD+,Qualcomm Adreno 619,HD+ 120Hz IPS LCD,16.7 Million,Android 14,Snapdragon,Snapdragon 6s Gen 3,Octa Core,2.3 GHz,2 GHz,128 GB,8 GB,,1 TB,MicroSD,Yes,50MP + 2MP,Yes,16MP Front Camera,Yes,"Rear Camera: Main Camera: FHD (at 30 fps), Macro Camera: HD (at 30 fps) | Front Camera: FHD (at 30 fps)",30 fps,"5G, 4G, 3G, 2G","5G, 4G LTE, WCDMA, GSM","5G, 4G, 3G, Wi-Fi",Yes,Yes,Type C Port (USB 2.0),v5.1,Wi-Fi 802.11 a/b/g/n/ac (2.4 GHz | 5 GHz),No,No,Yes,3.5mm,Yes,269 PPI,"Side Fingerprint Reader, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope, SAR Sensor, Sensor Hub, E-Compass",,Yes,5000 mAh,BLPA91 Polymer Lithium-ion,,74.64 mm,162.7 mm,8.03 mm,183 g,1 Year,4.4,"99,233 Ratings &","5,061 Reviews","63,025","21,881","6,255","2,486","5,586",3.9,4.1,4.1,4.3
https://www.flipkart.com/vivo-t3-ultra-lunar-gray-128-gb/p/itme360ff5b7dbab?pid=MOBH4EADEDFW9BBK&lid=LSTMOBH4EADEDFW9BBK9ITVTG&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBH4EADEDFW9BBK.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"vivo T3 Ultra (Lunar Gray, 128 GB)  (8 GB RAM)","₹29,999","₹35,999",16% off,V2426,T3 Ultra,Dual Sim,Yes,Yes,Yes,17.22 cm (6.78 inch),2800 x 1260 Pixels,HD+,Qualcomm Adreno 619,AMOLED,16.7 Million,Android 14,Mediatek,Dimensity 9200+,Octa Core,3.35 GHz,3 GHz,128 GB,8 GB,,1 TB,MicroSD,Yes,50MP + 8MP,Yes,50MP Front Camera,Yes,"Rear Camera: Main Camera: FHD (at 30 fps), Macro Camera: HD (at 30 fps) | Front Camera: FHD (at 30 fps)",30 fps,"5G, 4G, 3G, 2G","5G, 4G LTE, WCDMA, GSM","5G, 4G, 3G, Wi-Fi",Yes,Yes,USB 2.0,v5.3,"Supports 2.4 GHz, 5.0 GHz",No,No,Yes,3.5mm,Yes,452 PPI,"Accelerometer, Ambient Light Sensor, E-Compass, Proximity Sensor, Ordinary Motor, Gyroscope, Flicker Sensor, In-Display Optical Fingerprint Sensor",,No,5500 mAh,Lithium Ion,,74.93 mm,164.16 mm,7.58 mm,192 g,1 Year,4.5,"11,377 Ratings &",998 Reviews,"7,835","2,371",489,186,496,4.4,4.3,4.6,4.5
https://www.flipkart.com/poco-c75-5g-enchanted-green-64-gb/p/itmf8fdd88f80fcc?pid=MOBH7443VEGWXG4G&lid=LSTMOBH7443VEGWXG4GOW118G&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBH7443VEGWXG4G.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"POCO C75 5G (Enchanted Green, 64 GB)  (4 GB RAM)","₹7,999","₹10,999",27% off,MZB0IDJIN,C75 5G,Dual Sim,Yes,Yes,Yes,17.48 cm (6.88 inch),1650 x 720 Pixels,HD+,Qualcomm Adreno 619,HD+ Display,16.7 Million,Android 14,Snapdragon,4s Gen 2 5G,Octa Core,2 GHz,1.8 GHz,64 GB,4 GB,64 GB,1 TB,MicroSD,Yes,50MP Rear Camera,Yes,5MP Front Camera,Yes,"Rear Main Camera Video: 1080p (at 30 fps), 720p (at 30 fps) | Front Camera: 1080p (at 30 fps), 720p (at 30 fps)",120 Hz,"2G, 3G, 4G, 4G VOLTE, 5G","4G LTE, 4G VoLTE, 5G, GSM, WCDMA","5G, 4G, 3G, Wi-Fi, EDGE, GPRS",Yes,Yes,USB Type C,v5.0,802.11 a/b/g/n/ac,No,No,Yes,3.5mm,Yes,452 PPI,"Side Fingerprint Sensor, Accelerometer, Electronic Compass",,Yes,5160 mAh,Lithium Polymer,,77.8 mm,171.88 mm,8.22 mm,205.39 g,1 Year,4.3,"12,609 Ratings &",765 Reviews,"8,163","2,333",926,422,765,3.8,4.2,4.2,4.3
https://www.flipkart.com/apple-iphone-16-plus-black-256-gb/p/itmb07d67f995271?pid=MOBH4DQF7JGHH7QZ&lid=LSTMOBH4DQF7JGHH7QZXSCWPV&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBH4DQF7JGHH7QZ.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"Apple iPhone 16 Plus (Black, 256 GB)","₹88,999","₹99,900",10% off,MXWN3HN/A,iPhone 16 Plus,Dual Sim(Nano + eSIM),Yes,No,Yes,17.02 cm (6.7 inch),2796 x 1290 Pixels,Super Retina XDR Display,New 5 Core,All Screen OLED Display,16.7 Million,iOS 18,Apple,"A18 Chip, 6 Core Processor",Hexa Core,2 GHz,1.8 GHz,256 GB,4 GB,64 GB,1 TB,MicroSD,Yes,48MP + 12MP,Yes,12MP Front Camera,Yes,"Rear Camera: 4K (at 24 fps/ 25 fps/ 30 fps/ 60 fps), 1080P (at 240p /120 fps/60 fps/30 fps/ 25 fps), 720P (at 30 fps) | Front Camera: 4K (at 24 fps/ 25 fps/ 30 fps/ 60 fps), 1080P (at 120 fps/60 fps/30 fps/ 25 fps)","240 fps, 120 fps, 60 fps, 30 fps, 25 fps, 24 fps","5G, 4G VOLTE, 4G, 3G, 2G","5G, 4G VoLTE, 4G LTE, UMTS, GSM","5G, 4G, 3G, Wi-Fi, EDGE",Yes,Yes,USB Type C,v5.3,Wi?Fi 7 (802.11be),Yes,No,Yes,3.5mm,Yes,460 PPI,"Face ID, Barometer, High Dynamic Range Gyro, High-G Accelerometer, Proximity Sensor, Dual Ambient Light Sensors",,Yes,5160 mAh,Lithium Polymer,,77.8 mm,160.9 mm,7.8 mm,199 g,1 Year,4.6,"1,002 Ratings &",66 Reviews,786,121,26,14,55,4.7,4.6,4.7,4.6
https://www.flipkart.com/redmi-13c-5g-starlight-black-128-gb/p/itm54938652090ad?pid=MOBGW6S7PW5NSC35&lid=LSTMOBGW6S7PW5NSC35YW8ZT4&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBGW6S7PW5NSC35.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"REDMI 13c 5G (Starlight Black, 128 GB)  (4 GB RAM)","₹10,900","₹13,999",22% off,23124RN87I,13c 5G,Dual Sim,Yes,No,Yes,17.12 cm (6.74 inch),1600x720$$ Pixels,Super Retina XDR Display,New 5 Core,All Screen OLED Display,16.7 Million,Android 13,Mediatek,"A18 Chip, 6 Core Processor",Octa Core,1 GHz,1.8 GHz,128 GB,4 GB,64 GB,1 TB,MicroSD,Yes,50MP Rear Camera,Yes,12MP Front Camera,Yes,"Rear Camera: 4K (at 24 fps/ 25 fps/ 30 fps/ 60 fps), 1080P (at 240p /120 fps/60 fps/30 fps/ 25 fps), 720P (at 30 fps) | Front Camera: 4K (at 24 fps/ 25 fps/ 30 fps/ 60 fps), 1080P (at 120 fps/60 fps/30 fps/ 25 fps)","240 fps, 120 fps, 60 fps, 30 fps, 25 fps, 24 fps",5G,5G,"5G, 4G, 3G, Wi-Fi, EDGE",Yes,Yes,USB Type C,v5.3,Wi?Fi 7 (802.11be),Yes,No,Yes,3.5mm,Yes,460 PPI,"Face ID, Barometer, High Dynamic Range Gyro, High-G Accelerometer, Proximity Sensor, Dual Ambient Light Sensors",,Yes,5000 mAh,Lithium Polymer,,77.8 mm,160.9 mm,7.8 mm,199 g,1 Year,4.3,"40,335 Ratings &","1,617 Reviews","24,883","8,347","3,254","1,339","2,512",3.7,4.1,4.0,4.1
https://www.flipkart.com/realme-p1-5g-phoenix-red-256-gb/p/itmae4447062b5b5?pid=MOBGYQ6BTTCWZYYD&lid=LSTMOBGYQ6BTTCWZYYD9LV1JO&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBGYQ6BTTCWZYYD.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"realme P1 5G (Phoenix Red, 256 GB)  (8 GB RAM)","₹16,999","₹22,999",26% off,RMX3870,P1 5G,Dual Sim,Yes,Yes,Yes,16.94 cm (6.67 inch),2400 x 1080 Pixels,Full HD+,ARM Mali-G68 MC4,Full HD+ AMOLED,16.7 Million,Android 14,Mediatek,Dimensity 7050,Octa Core,2.6 GHz,2 GHz,256 GB,8 GB,64 GB,2 TB,MicroSD,Yes,50MP + 2MP,Yes,16MP Front Camera,Yes,"Rear Camera: 720p (at 30 fps/at 60 fps/at 240 fps/at 960 fps), 1080p (at 30 fps/at 60 fps/at 120 fps/at 480 fps), 4k (at 30 fps)| Front Camera: 720p (at 30 fps), 1080p (at 30 fps)","960 fps, 480 fps, 240 fps, 120 fps, 60 fps, 30 fps","5G, 4G VOLTE, 4G, 3G, 2G","5G, 4G VoLTE, 4G LTE, WCDMA, GSM","5G, 4G, 3G, EDGE, GPRS, Wi-Fi",Yes,Yes,USB 2.0 (Type C),v5.2,"IEEE 802.11 a/b/g/n/ac/ax (WiFi 4| WiFi 5| WiFi 6), Supports 2.4 GHz, 5 GHz",No,No,Yes,3.5mm,Yes,394 PPI,"Magnetic Induction Sensor, Light Sensor, Proximity Sensor, Gyro-meter, Acceleration Sensor",,Yes,5000 mAh,Lithium Polymer,,75.45 mm,162.95 mm,7.97 mm,188 g,1 Year,4.4,"43,399 Ratings &","2,397 Reviews","27,720","9,761","2,661",943,"2,314",3.9,4.1,4.3,4.2
https://www.flipkart.com/infinix-note-40x-5g-lime-green-256-gb/p/itm9c39960257804?pid=MOBH34XGRHK9HZQF&lid=LSTMOBH34XGRHK9HZQFENCLAZ&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBH34XGRHK9HZQF.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)","₹12,999","₹19,999",35% off,X6838,Note 40X 5G,Dual Sim,Yes,Yes,Yes,17.22 cm (6.78 inch),2460 x 1080 Pixels,Full HD+,ARM Mali-G68 MC4,Full HD+,16.7 Million,Android 14,Mediatek,Dimensity 6300,Octa Core,2.4 GHz,2 GHz,256 GB,8 GB,64 GB,1 TB,MicroSD,Yes,108MP + 2MP + AI Lens,Yes,8MP Front Camera,Yes,"Rear Camera: 720p (at 30 fps/at 60 fps/at 240 fps/at 960 fps), 1080p (at 30 fps/at 60 fps/at 120 fps/at 480 fps), 4k (at 30 fps)| Front Camera: 720p (at 30 fps), 1080p (at 30 fps)","960 fps, 480 fps, 240 fps, 120 fps, 60 fps, 30 fps","5G, 4G, 3G, 2G","5G, 4G LTE, WCDMA, GSM","5G, 4G, 3G, EDGE, GPRS, Wi-Fi",Yes,Yes,USB 2.0 (Type C),v5.2,802.11 (a/b/g/n/ac),Yes,No,Yes,3.5mm,Yes,394 PPI,"G Sensor, E-Compass, Gyroscope (Software), Light Sensor, Proximity Sensor, Side Mounted Fingerprint Sensor, NFC",,Yes,5000 mAh,Lithium Polymer,,76.49 mm,168.94 mm,8.26 mm,201 g,1 Year,4.2,"2,948 Ratings &",180 Reviews,"1,765",633,230,106,214,3.9,3.9,4.1,4.3
https://www.flipkart.com/motorola-g85-5g-olive-green-128-gb/p/itm1c4b849213a0e?pid=MOBHY9PQMNCMDVCD&lid=LSTMOBHY9PQMNCMDVCDI6UUHQ&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBHY9PQMNCMDVCD.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"Motorola G85 5G (Olive Green, 128 GB)  (8 GB RAM)","₹17,999","₹20,999",14% off,PB2B0001IN|PB2B0013IN,G85 5G,Dual Sim,Yes,Yes,Yes,16.94 cm (6.67 inch),2400 x 1080 Pixels,Full HD+,Qualcomm Adreno 619,pOLED Endless Edge Display,10 Bit,Android 14,Snapdragon,6s Gen 3,Octa Core,2.3 GHz,2 GHz,128 GB,8 GB,64 GB,1 TB,MicroSD,Yes,50MP + 8MP,Yes,32MP Front Camera,Yes,"Rear Camera: Main Camera: FHD (at 30 fps), Macro Camera: FHD (at 30 fps) | Front Camera: FHD (at 30 fps)",30 fps,"2G, 3G, 4G, 5G","4G LTE, 5G, GSM, WCDMA","5G, 4G, 3G, Wi-Fi",Yes,Yes,Type C Port (USB 2.0),v5.1,Wi-Fi 802.11 a/b/g/n/ac (2.4 GHz | 5 GHz),No,No,Yes,3.5mm,Yes,395 PPI,"Fingerprint on Display, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope, SAR Sensor, Sensor Hub, E-Compass","1 Years OS Upgrade, 3 Years SMRs",No,5000 mAh,Lithium Polymer,,73.06 mm,161.91 mm,7.59 mm,172 g,1 Year,4.4,"1,38,615 Ratings &","7,408 Reviews","95,557","26,374","6,733","3,032","6,919",4.2,4.2,4.5,4.5
https://www.flipkart.com/motorola-g64-5g-mint-green-256-gb/p/itm03d965c2f47ac?pid=MOBGY2JUPSSWCZEJ&lid=LSTMOBGY2JUPSSWCZEJGIY3BS&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBGY2JUPSSWCZEJ.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"Motorola g64 5G (Mint Green, 256 GB)  (12 GB RAM)","₹15,999","₹19,999",20% off,PB2E0005IN,g64 5G,Dual Sim,Yes,Yes,Yes,16.51 cm (6.5 inch),2400 x 1080 Pixels,Full HD+,IMG BXM-8-256,Full HD+ LCD,10 Bit,Android 14,Mediatek,Dimensity 7025,Octa Core,2.5 GHz,2 GHz,256 GB,12 GB,64 GB,1 TB,MicroSD,Yes,50MP (OIS) + 8MP,Yes,16MP Front Camera,Yes,"Rear Camera: Main Camera [FHD (at 30 fps)], Macro Camera [HD (at 30 fps)]|Front Camera: FHD (at 30 fps)",30 fps,"2G, 3G, 4G, 5G","4G LTE, 5G, GSM, WCDMA","5G, 4G, 3G, Wi-Fi",Yes,Yes,Type C Port (USB 2.0),v5.3,Wi-Fi 802.11 a/b/g/n/ac (2.4 GHz | 5 GHz),No,No,Yes,3.5mm,Yes,405 PPI,"Fingerprint Reader, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope, SAR Sensor, Sensor Hub, E-Compass","1 OS Upgrade, 3 Years SMRs",Yes,6000 mAh,Lithium Polymer,,73.82 mm,161.56 mm,8.89 mm,192 g,1 Year,4.2,"66,732 Ratings &","4,287 Reviews","39,553","15,289","4,712","1,973","5,205",3.9,4.1,4.0,4.1
https://www.flipkart.com/motorola-g45-5g-viva-magenta-128-gb/p/itm4fcac185bc02b?pid=MOBH3YKQMPVFBUB5&lid=LSTMOBH3YKQMPVFBUB5HBNW9E&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBH3YKQMPVFBUB5.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"Motorola g45 5G (Viva Magenta, 128 GB)  (8 GB RAM)","₹11,999","₹14,999",20% off,PB3W0003IN,g45 5G,Dual Sim,Yes,Yes,Yes,16.51 cm (6.5 inch),1600 x 720 Pixels,HD+,Qualcomm Adreno 619,HD+ 120Hz IPS LCD,10 Bit,Android 14,Snapdragon,Snapdragon 6s Gen 3,Octa Core,2.3 GHz,2 GHz,128 GB,8 GB,64 GB,1 TB,MicroSD,Yes,50MP + 2MP,Yes,16MP Front Camera,Yes,"Rear Camera: Main Camera: FHD (at 30 fps), Macro Camera: HD (at 30 fps) | Front Camera: FHD (at 30 fps)",30 fps,"5G, 4G, 3G, 2G","5G, 4G LTE, WCDMA, GSM","5G, 4G, 3G, Wi-Fi",Yes,Yes,Type C Port (USB 2.0),v5.1,Wi-Fi 802.11 a/b/g/n/ac (2.4 GHz | 5 GHz),No,No,Yes,3.5mm,Yes,269 PPI,"Side Fingerprint Reader, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope, SAR Sensor, Sensor Hub, E-Compass","1 OS Upgrade, 3 Years SMRs",Yes,5000 mAh,Lithium Polymer,,74.64 mm,162.7 mm,8.03 mm,183 g,1 Year,4.4,"99,233 Ratings &","5,061 Reviews","63,025","21,881","6,255","2,486","5,586",3.9,4.1,4.1,4.3
https://www.flipkart.com/poco-c61-ethereal-blue-64-gb/p/itmdb8902b0c9344?pid=MOBGYQ6BXH69VAJY&lid=LSTMOBGYQ6BXH69VAJYWCT1R1&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=205174ed-75cf-4aa0-862e-ff801340eac7.MOBGYQ6BXH69VAJY.SEARCH&ppt=sp&ppn=sp&ssid=0y7a07snj40000001739449981535&qH=ae068f9324d0df60,"POCO C61 (Ethereal Blue, 64 GB)  (4 GB RAM)","₹5,899","₹8,999",34% off,MZB0GO0IN,C61,Dual Sim,Yes,Yes,Yes,17.04 cm (6.71 inch),1650 x 720 Pixels,HD+,IMG PowerVR,HD+ 90Hz Display with Gorilla Glass 3 Protection,10 Bit,Android 14,Mediatek,Helio G36,Octa Core,2.2 GHz,2 GHz,64 GB,4 GB,64 GB,1 TB,MicroSD,Yes,8MP Rear Camera,Yes,5MP Front Camera,Yes,"Rear Main Camera Video: 1080p (at 30 fps), 720p (at 30 fps) | Front Camera: 1080p (at 30 fps), 720p (at 30 fps)",30 fps,"2G, 3G, 4G, 4G VOLTE","4G LTE, 4G VoLTE, GSM, WCDMA","4G, 3G, Wi-Fi, EDGE, GPRS",Yes,Yes,USB Type-C,v5.4,802.11 a/b/g/n/ac,No,No,Yes,3.5mm,Yes,269 PPI,"Side Fingerprint Sensor, Accelerometer, Electronic Compass","1 OS Upgrade, 3 Years SMRs",Yes,5000 mAh,Lithium Polymer,,76.3 mm,168.4 mm,8.3 mm,199 g,1 Year,4.1,"74,826 Ratings &","3,063 Reviews","44,576","13,496","6,650","3,469","6,635",3.5,4.0,3.9,4.1
